epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.017087087035179138,0.008519410155713558,0.0028432088155491476,0.6167971520700499,0.004466528633357592,0.6347574427743837
2,0.007775420788675547,0.0018876775866374373,0.009824296433423639,0.8272204846950243,0.10780943618229412,0.8237655444183847
3,0.004378368612378836,0.0040719821117818356,0.027577644679714623,0.9108515020397149,0.2956368495293116,0.88662741429605
4,0.0032925743144005537,0.0026208190247416496,0.0500276620666828,0.9613052398683467,0.36212391046652126,0.9057070493350076
5,0.0022621455136686563,0.002987349173054099,0.0696812495950237,0.9651019155985454,0.3951115795861457,0.9058246218367366
