epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.009014428593218327,0.009986615739762783,0.0013482325992545845,0.46064762733091535,0.0023990160284358937,0.5375988195402481
2,0.0030206700321286917,0.0872926115989685,0.0019559740820274674,0.5282837239244943,0.003608744565982111,0.586637553769578
3,0.0019852102268487215,0.039747197180986404,0.002336543755268664,0.6453306123764534,0.018661359454194334,0.6578156070591622
4,0.0013877768069505692,0.17279790341854095,0.003967922118486634,0.7095859029671552,0.008382639999880322,0.6962507777645324
